lon,lat,source,country,substance,area_ha
-52.6041,-23.4864,ANM,BR,BASALTO,71.5
-50.1572,-21.2757,ANM,BR,BASALTO,17.76
-53.7475,-29.5871,ANM,BR,BASALTO P/ BRITA,37.75
-53.2143,-26.7606,ANM,BR,BASALTO,6
-54.2677,-24.7853,ANM,BR,BASALTO,44
-51.1588,-28.3552,ANM,BR,BASALTO P/ REVESTIMENTO,7.8
-54.5941,-25.4866,ANM,BR,BASALTO,49.18
-50.735,-24.1672,ANM,BR,DIABÁSIO,48.94
-42.1921,-14.2136,ANM,BR,GABRO,500
-50.351,-27.2359,ANM,BR,BASALTO,3.3
-51.7251,-23.525,ANM,BR,BASALTO,50
-51.9968,-27.9508,ANM,BR,BASALTO,9
-50.9712,-26.7354,ANM,BR,BASALTO,42.33
-50.3908,-27.8645,ANM,BR,BASALTO,49.89
-51.4169,-29.2063,ANM,BR,BASALTO,24.94
-52.4829,-25.4841,ANM,BR,BASALTO,50
-49.6102,-27.3546,ANM,BR,DIABÁSIO,36.95
-54.2222,-25.3428,ANM,BR,BASALTO,13.99
-52.5816,-27.1698,ANM,BR,BASALTO,14.2
-52.0134,-28.5374,ANM,BR,BASALTO,4
-54.7708,-20.4461,ANM,BR,BASALTO,50
-53.2868,-26.3381,ANM,BR,BASALTO,3.48
-52.2509,-27.2268,ANM,BR,BASALTO,3.49
-41.9743,-20.1812,ANM,BR,GABRO,537.5
-51.7617,-24.8021,ANM,BR,BASALTO,23.1
-51.532,-25.2675,ANM,BR,BASALTO,50
-53.9953,-25.2599,ANM,BR,BASALTO,26.56
-56.452,-14.3626,ANM,BR,BASALTO,30.5
-50.7904,-24.3093,ANM,BR,DIABÁSIO,49
-50.237,-21.115,ANM,BR,BASALTO,13.26
-51.2777,-24.4051,ANM,BR,DIABÁSIO,49
-51.4264,-28.7521,ANM,BR,BASALTO,1.77
-51.8299,-28.5998,ANM,BR,BASALTO,1.7
-48.9108,-21.6653,ANM,BR,BASALTO,24
-47.7643,-21.9576,ANM,BR,BASALTO,48
-50.5772,-24.2258,ANM,BR,DIABÁSIO,49
-50.2545,-29.845,ANM,BR,BASALTO P/ BRITA,29
-55.584,-28.6072,ANM,BR,BASALTO,13.98
-51.5214,-28.7322,ANM,BR,BASALTO,4
-54.0838,-27.4163,ANM,BR,BASALTO,4.5
-53.7602,-25.6412,ANM,BR,BASALTO,50
-50.4956,-27.158,ANM,BR,BASALTO,5
-54.8231,-22.1442,ANM,BR,BASALTO,43.33
-51.6661,-25.4279,ANM,BR,BASALTO,39.9
-52.2868,-25.9673,ANM,BR,BASALTO,2.24
-51.9653,-25.1136,ANM,BR,DIABÁSIO,49
-48.2726,-23.1416,ANM,BR,DIABÁSIO,50
-51.9626,-23.4784,ANM,BR,BASALTO,49.38
-51.1666,-24.463,ANM,BR,DIABÁSIO,49
-51.8205,-28.5729,ANM,BR,BASALTO,0.46
-50.2269,-23.9196,ANM,BR,DIABÁSIO,5.81
-49.6634,-17.8975,ANM,BR,BASALTO,28.38
-53.2162,-17.8551,ANM,BR,BASALTO,15
